PRED,PETD,CLDD,DTRD,TMPD,TMND,TMXD,VAPD,WETD
61.9,1.5,51.5,7.9,12.1,8.2,16.1,11,8.52
85.5,2.1,44.8,8.5,12.1,7.9,16.4,10.6,10.89
29.8,2.9,45.3,9.9,14,9.1,19,11.7,7.23
35.2,3.6,46,9.8,15.4,10.5,20.3,12.7,6.96
9.3,4.7,36.1,10.5,16.5,11.3,21.8,12.8,2.49
44.7,4.8,34.3,10,16.9,11.9,21.9,13.5,9.02
5.3,5.4,30.2,10.3,19.6,14.5,24.8,15.5,2.03
13.6,4.6,32.2,10.1,18.1,13.1,23.2,14.7,2.37
65.7,4,31.2,10.3,18.2,13.1,23.4,14.7,7.64
40.2,3,40,10.6,18,12.7,23.3,14.6,6.38
66.4,2,41.5,9.3,14.4,9.8,19.1,12.1,8.43
86.7,1.7,43.3,9.6,13.1,8.3,17.9,11.3,11.52
149.4,1.4,55.7,7.3,11.3,7.7,15,10.6,14.1
106,2,52,8.1,12.2,8.2,16.3,10.9,11.41
69.1,2.7,48.3,9.5,13.7,9,18.5,11.7,11.76
20.2,4,39.7,10.6,16,10.7,21.3,12.6,4.55
24.6,4.7,36.3,10.2,17.4,12.3,22.5,13.6,3.93
20.4,5.3,34.1,10.4,19.2,14,24.4,15.1,4.01
23.8,5.1,31.3,9.8,18.6,13.7,23.5,14.9,4.38
0.5,5.2,28.5,11.4,20.4,14.7,26.1,16.3,0.56
7.7,4.1,32.8,11,18.7,13.2,24.2,14.9,1.88
101.9,2.5,45.9,8.6,15.5,11.2,19.8,13,9.87
59,1.8,48.3,8.4,14.3,10.1,18.5,12.4,9.49
173.4,1.4,56.5,7.5,11.6,7.9,15.4,10.8,15.05
59.8,1.7,43.2,9.8,11.5,6.6,16.4,10.1,9.59
56,2.2,40.6,10.2,12,6.9,17.1,10.2,10.3
43.6,3,39.4,10.5,13.9,8.7,19.2,11.5,9.46
56.3,3.6,46,9.4,15.2,10.5,19.9,12.5,10.04
54.7,4.9,34.2,10.4,17.9,12.7,23.1,14,7.71
7.4,5.5,32,11,19.4,13.9,24.9,15.2,2.36
30.1,4.9,33.3,9.3,18.5,13.9,23.2,15,6.23
9,4.8,27,10.5,18.2,13,23.5,14.5,3.07
0.4,4.3,30.1,11.3,19.5,13.9,25.2,15.6,0.92
90,2.7,43.7,9.2,16.5,11.9,21.1,13.8,9.41
140.3,1.8,55.3,7.1,14.5,11,18.1,12.8,14.19
152,1.5,49.2,8.9,11.8,7.4,16.3,10.5,12.95
164.9,1.5,48.3,8.2,11.1,7,15.2,10.3,14.48
97.2,1.9,48.8,8.4,11.2,7,15.4,10.1,13.2
20.8,2.9,43.9,10.5,13.7,8.5,19,11.3,5.83
92.3,3.3,48.8,8.6,14.3,10,18.6,12.2,13.27
7.9,5.1,30.1,11.1,17.9,12.4,23.5,13.8,3.4
21.9,5.1,34.6,10,18.3,13.3,23.3,14.4,5.38
43.8,5.1,32.3,9.6,19.2,14.4,24,15.5,6.51
8.1,4.9,32.1,9.7,20.1,15.3,25,16.6,3.12
20.6,4.2,33.2,10.3,20,14.9,25.2,16.5,3.51
55.6,2.5,44.1,8.4,15.6,11.4,19.8,13.2,8.56
14.5,2.1,42.5,10.8,13.8,8.4,19.2,11.4,4.86
108.1,1.5,48.5,8.2,12.2,8.1,16.3,11,10.55
53,1.7,41.9,9.7,12,7.2,16.9,10.6,8.68
95.2,2.2,45.5,8.9,13.1,8.7,17.6,11.3,11.76
77.3,2.7,45.3,9.8,12.6,7.7,17.5,10.7,11.71
59.5,3.4,49.6,8.7,14.9,10.6,19.3,12.5,11.06
7.8,4.6,35.1,10,16.7,11.7,21.7,13,2.96
5.8,5.4,32.5,10.5,18.9,13.7,24.2,14.7,3.28
11.2,5.5,29.4,10.6,20.1,14.8,25.4,15.9,2.93
16.9,5,29,10.6,20,14.7,25.3,16.1,4.25
5.1,4.3,30.2,11.4,19.3,13.6,25,15.3,1.64
4.5,3.1,38.7,11.1,17.7,12.2,23.3,14,2.18
125.5,1.7,52.8,7.1,13.8,10.3,17.4,12.4,12.57
167.8,1.4,55.2,7.4,12.2,8.5,15.9,11.1,14.76
126.3,1.4,48.5,8.3,10.3,6.2,14.5,9.8,13.3
137.1,1.8,50.8,7.3,11,7.4,14.7,10.3,14.54
75.7,2.5,48.4,8.7,12.2,7.9,16.6,10.7,10.92
49.7,3.8,44.9,9.6,16,11.2,20.8,13,8.93
21.8,4.5,34.9,10,15.8,10.8,20.8,12.4,4.47
39.2,4.7,36,9.3,17,12.4,21.7,13.7,6.64
8.8,5.4,30.2,10.7,19.2,13.9,24.6,15,2.69
1.1,5.1,29.1,10.6,20.6,15.3,25.9,16.9,1.29
18.8,4.2,31.1,11.1,19,13.5,24.6,15.1,5.02
12.3,2.9,36.5,9.7,16.4,11.6,21.3,13.3,3.28
53,2.1,42.7,10.8,14.5,9.1,19.9,11.8,7.61
104,1.6,47.5,8.7,12.4,8.1,16.8,10.9,10.87
90.7,1.5,54.7,8.8,11.6,7.2,16,10.6,11.47
116.7,1.8,55.7,7.7,11.1,7.3,15,10.4,14.43
43.3,2.7,43.9,10,11.7,6.7,16.7,10,6.24
20.6,3.9,37.1,10.7,15.1,9.8,20.5,11.9,5.49
5,4.7,36.6,10.3,16.8,11.7,22,12.9,2.51
20,5.2,35.8,9.9,18.9,14,23.9,15.1,4.07
24.3,5.5,31.6,10.7,20.4,15.1,25.8,16.3,5.72
13.2,5.2,28.4,11,20.4,14.9,25.9,16.4,3.46
19.6,4.3,32.9,10.9,19.8,14.4,25.3,15.9,4.4
58.8,3,38.4,11.2,16.6,11,22.2,13.1,8.34
104.7,2,47.8,9.8,14.8,9.9,19.7,12.4,11.44
81.5,1.6,50.5,9,13.2,8.7,17.7,11.5,10.21
60.2,1.8,40.8,9.9,12.7,7.8,17.7,11,10.35
77.2,2.1,44.6,9.4,12,7.3,16.7,10.6,10.54
50.6,2.7,47.8,9.4,14.1,9.4,18.8,12.1,9.86
16.8,4.1,39.6,10.9,16.5,11.1,22,13,6.35
0.2,5.4,31.4,11.7,19.4,13.6,25.3,15,0.23
46.4,4.9,36.9,9.9,18.3,13.4,23.3,15,9.09
2.7,5.5,32.4,11.1,19.8,14.3,25.4,15.6,0.95
1.9,5.3,32.6,11.3,21.1,15.5,26.8,17,2.04
32.5,4.1,33.2,10.4,19.2,14,24.4,15.7,6.54
9.6,3.3,37.9,11.8,18.8,12.9,24.7,14.9,2.62
60.9,2,44.7,9.7,14.2,9.4,19.1,11.9,9.54
34.1,1.9,39.8,10.3,14.1,9,19.3,11.7,6.03
148.1,1.6,51,8.5,12.8,8.6,17.1,11.7,15.18
82,2.1,49.8,9.4,12,7.3,16.7,10.4,12.14
67.1,2.6,47.3,9.4,12.3,7.6,17,10.6,11.99
16.5,4,41.5,10.5,16.5,11.3,21.8,13.3,6.83
19.4,4.7,40,9.9,18.1,13.2,23.1,14.5,3.95
35.5,5.1,36.1,9.7,19,14.2,23.9,15.4,7.93
9.5,5.4,32.5,9.8,20.4,15.5,25.3,16.6,3.07
4.3,5.3,33.6,11.3,21.2,15.6,26.9,17,1.71
9.1,4.4,34.9,11.5,19.8,14.1,25.6,15.6,2.96
5.4,3.3,40,11.7,18.2,12.4,24.1,14.2,1.9
168.8,1.9,50.4,8.6,14.4,10.1,18.7,12.4,14.12
179.8,1.5,56.6,7.4,13.7,10,17.4,12.1,14.77
71.9,1.8,46.3,9.3,12,7.4,16.7,10.3,10.27
283.6,1.8,57.3,7.7,11.6,7.8,15.5,10.7,20.65
70.9,2.6,49.9,9.3,12.5,7.9,17.2,10.7,11.14
66.9,3.5,46.7,9.4,14.3,9.6,19,11.7,11.47
31.2,4.6,41.5,9.2,17.8,13.2,22.4,14.2,6.7
6.5,5.3,34,10.5,19.1,13.9,24.4,15,3.3
25.7,5.2,32.1,9.6,19.7,14.9,24.5,16.1,6.68
7.8,5.2,29.5,10.9,21.1,15.7,26.6,17.4,3.27
6.3,4.1,33.4,10.8,19.4,14,24.8,15.8,2.83
58.8,2.8,43.3,9.3,16.8,12.2,21.5,13.9,8.42
184.5,1.9,47.1,8.6,14.5,10.2,18.8,12.4,15.95
77,1.7,46.4,8.9,13.6,9.2,18.1,11.7,10.16
182.4,1.4,51.6,7.4,11.9,8.2,15.6,11.1,14.25
94.8,2,46.5,8.5,11.4,7.2,15.7,10.2,12.22
10.7,2.9,47,9.6,14.7,9.9,19.5,12.3,4.58
50.6,3.5,45.6,9.2,14.4,9.8,19,11.8,10.43
37.9,4.5,40.3,9.3,16.7,12.1,21.4,13.2,6.38
4,5.1,36.7,10.4,18.6,13.4,23.8,14.7,2.25
0,5.8,29.2,11.5,21.2,15.5,27,16.9,1.17
3.4,5.1,28.9,10.6,20,14.7,25.3,16,1.78
37.2,3.9,34.2,9.4,18.7,14,23.4,15.3,4.73
70.1,2.9,42.5,9.6,17.2,12.4,22,14,9.58
65.8,2.1,45.4,9.4,15.9,11.2,20.6,13.2,8.2
246.1,1.4,55.1,6.7,13.1,9.8,16.5,12,17.35
94.5,1.5,50.4,7.7,11.8,8,15.7,10.9,12.14
85.5,2.1,45.4,9.2,11.9,7.3,16.5,10.3,10.93
67.5,2.5,54.4,7.9,13.7,9.8,17.7,12,10.61
14,3.5,52.2,8.9,15.5,11.1,20,12.8,5.12
96.8,3.8,49.8,7.9,15,11.1,19,12.5,11.49
59.8,4.7,38.4,8.8,18,13.6,22.4,14.8,10.77
29.2,5.1,32.3,9.8,19.1,14.2,24,15.5,6.09
58.9,4.9,34.5,9.8,20.9,16,25.8,17.5,5.86
15.2,4.2,32.3,10.9,19.1,13.7,24.6,15.2,4.07
91.2,2.8,46.2,9,17.9,13.4,22.4,14.9,10.36
188.9,1.6,55,7.5,13.2,9.5,17,12.1,16.34
191.5,1.3,59.2,6.6,13.2,9.9,16.5,12.3,15.72
182.9,1.6,46.6,9,11.6,7.1,16.1,10.5,16.22
152.5,2.2,48.7,9.5,12.9,8.2,17.7,11,15
59.7,2.5,53.7,8,13.4,9.4,17.4,11.9,11
22.5,3.5,47.6,9.6,14.8,10,19.6,12.1,6.96
22.8,4.8,37.5,9.7,18,13.2,22.9,14.1,5.72
29,5.1,37.7,9.3,19.3,14.7,24,15.6,5.9
14.3,5.4,32.5,10,20.4,15.4,25.4,16.5,4.45
25.2,5.1,25.2,10.1,19.9,14.9,25,16.1,4.86
37.4,4.2,29.3,10.4,19.4,14.2,24.6,15.6,5.75
65.2,2.9,42.4,9.7,17.2,12.4,22.1,13.9,8.55
46.2,1.9,44.4,8.6,13.8,9.5,18.1,11.6,8.44
26.2,1.9,29.5,10.9,13.6,8.2,19.1,11,4.98
31,1.9,32.7,10.4,13.5,8.3,18.7,11.3,5.81
130.1,1.9,52.8,7.3,12,8.4,15.7,10.8,14.73
83,2.6,47.9,9,12.8,8.3,17.3,11,12.02
33.9,3.5,44.1,9.1,14,9.5,18.6,11.5,7.21
12,4.9,33.6,9.9,18,13.1,23,14,4.75
36.9,5.2,36,9.5,19.3,14.6,24.1,15.4,8.07
27,5.5,30.2,10.3,20.2,15.1,25.4,16.2,5.82
50.7,5.1,26.9,10.4,20.3,15.1,25.5,16.3,6.43
10.5,4,32.9,10,18.1,13.1,23.1,14.4,2.83
14,3.1,40,10.2,17.9,12.8,23,14.1,4.17
95.1,2,47.4,8.8,15.5,11.1,19.9,13.1,11.98
103.8,1.7,50.7,9,13.5,9,18,11.5,11.94
56.4,1.7,44.3,9.6,12.3,7.5,17.1,10.7,9.35
62.7,2.1,51.6,8.1,13.2,9.2,17.3,11.5,10.4
51.1,2.7,47.3,9.5,13.2,8.5,18,11.2,10.72
105.4,3.5,46.5,9.2,14.5,9.9,19.1,12,11.63
7.6,5,35.6,10.3,18,12.9,23.2,13.9,3.36
0.8,5.4,33.6,10.3,19.6,14.5,24.8,15.5,0.58
31.7,5.3,31.8,10,20.1,15.1,25.1,16.4,7.23
20.8,5.1,27.9,10.5,19.9,14.7,25.2,15.9,4.63
1.1,4.5,30.6,11.6,20,14.2,25.8,15.6,1.25
68.3,2.8,43.8,9.4,16.9,12.2,21.6,13.9,8.49
132.9,2,42.3,9.3,14.1,9.5,18.8,11.7,13.67
117.6,1.7,45.8,9,13.1,8.6,17.6,11.2,12.17
38.5,2.1,30.1,11.4,13.5,7.8,19.2,10.9,7.53
109.2,2.3,43.3,9.9,13.5,8.6,18.5,11.3,12.24
39.2,2.8,49.1,9.7,14.1,9.3,19,11.8,7.49
26.9,4.1,36.9,11,15.6,10.1,21.1,12.1,7.48
110.9,3.9,48.5,8,16.2,12.2,20.2,13.6,11.38
58.7,4.9,38.4,8.8,18.7,14.3,23.1,15.3,9.07
85.3,4.8,33.5,8.9,19,14.6,23.5,16,8
2.4,5.1,28.5,10.3,20.4,15.3,25.6,16.6,0.44
58.8,4.1,30.6,10.5,18.9,13.7,24.2,15.3,5.93
53.8,3,37.1,10.6,17.4,12.1,22.7,13.9,7.11
18.9,2.2,42.4,10.1,15.7,10.7,20.8,12.8,5.7
79.2,1.7,42.2,9.7,12,7.2,16.9,10.2,9.74
170.4,1.6,43.8,8.5,11.4,7.2,15.7,10.2,15.38
120.8,1.8,54.5,7.6,11.4,7.6,15.2,10.5,14.11
90.8,2.8,46.1,9.7,13.1,8.3,18,11.1,12.53
20.5,4.1,40.7,11.2,16.3,10.7,21.9,12.8,5.64
25.7,4.6,35.1,9.8,17.3,12.4,22.2,14.1,5.52
22.1,5,34,9.9,18.9,14,23.9,15.6,4.33
33.9,5,33.9,9.5,19.3,14.6,24.1,16.1,7.08
10.1,4.8,36.6,10.6,19.7,14.4,25,15.8,2.65
26.6,4,37.1,10.7,18.6,13.3,24,15.1,4.98
80.9,2.4,49.1,8.5,16.1,11.9,20.4,14.1,10.51
52.1,2,49,9.8,14.7,9.8,19.6,12.2,9.65
99.7,1.6,57.8,9,12.3,7.8,16.8,10.6,12.73
92.3,1.7,48.9,9.4,12.3,7.6,17,10.7,11.38
118,2.1,43.7,9.3,12.4,7.8,17.1,10.8,11.36
13.5,3.1,44.6,10.7,15.2,9.9,20.6,12.4,5.43
41.4,3.9,44.5,9.8,16.4,11.5,21.3,13.2,9.34
23.5,4.5,36.3,9.4,16.6,11.9,21.3,13.3,5.61
34.6,4.9,33.9,10.7,17.7,12.4,23.1,14.4,8.71
9.6,5.5,29.1,10.8,19.9,14.5,25.3,15.7,3.62
43.8,4.8,25.7,10.1,18.7,13.7,23.8,15.2,7.5
43.9,4.1,30.8,10.3,18.6,13.5,23.8,14.9,6.33
18.4,3.1,37.8,10.6,18.3,13,23.6,14.7,5.19
159.1,1.8,49.8,8,14.2,10.2,18.2,12.4,15.73
173.9,1.5,51.9,7.8,12.7,8.8,16.6,11.4,15.09
89.9,1.6,48.5,8.8,12.3,7.9,16.7,11,12.2
51.9,2.3,38,10.2,12.4,7.3,17.5,10.4,9.2
60.3,2.4,52.1,7.7,12.7,8.9,16.6,11.3,11.49
14.8,3.8,42.9,9.9,15.9,11,20.9,12.9,4.97
14.6,4.5,40.5,9.2,17.1,12.5,21.7,13.6,5.36
15,5.4,33.2,10.3,19.3,14.2,24.5,15.2,5.6
9.9,5.7,29.9,11.1,20.6,15.1,26.2,16.4,3.15
4.6,5.3,26.6,11.1,20.7,15.2,26.3,16.6,2.11
39.1,4.3,30.9,11,20.2,14.7,25.7,16.4,6.61
34.3,3.2,36.5,11.4,17.9,12.2,23.6,14.1,5.84
188.8,1.8,53.2,7.9,14.5,10.6,18.5,12.7,17.5
48.1,1.8,41.1,9.3,14,9.4,18.7,11.9,8.44
77.8,1.7,39.5,8.5,12.9,8.7,17.2,11.3,10.88
44.5,2.2,41.3,9,12.6,8.1,17.1,10.8,8.55
113.3,2.7,50.5,8.5,13.8,9.6,18.1,11.9,15.72
86.3,3.5,47.8,8.7,14.9,10.6,19.3,12.4,13.16
11.5,5.1,33.5,10.6,18.5,13.2,23.8,14.2,1.08
78.7,4.8,36.1,9,18,13.5,22.5,14.6,11.45
30.8,5.3,32.3,9.4,20.4,15.7,25.1,16.8,6.62
29.4,4.9,31.7,9.8,20.4,15.5,25.3,16.9,5.61
90.6,3.9,31.1,9.6,18,13.2,22.8,14.7,9.18
67.4,2.9,40.2,9.5,16.9,12.2,21.7,13.8,9.35
48.7,2.1,43.5,10,15.4,10.4,20.4,12.7,9.66
113.9,1.7,39.9,8.7,13.6,9.3,18,11.6,13.49
151.3,1.7,43.9,9.7,12.1,7.3,17,10.6,14.81
101.6,2.3,41.2,9.9,13.4,8.5,18.4,11.2,12.87
46.2,2.7,47.2,9,13.8,9.3,18.3,11.7,11.58
19.4,3.8,44.8,9.8,16.5,11.6,21.4,13.4,5.48
7.2,5.2,34.4,10.6,19.9,14.6,25.2,15.9,3.16
20.8,5,37.2,9.7,18.9,14.1,23.8,15.4,4.04
16.1,5.5,30.1,10.5,20.3,15.1,25.6,16.2,4.5
17.8,5.2,27.7,11.2,20.3,14.7,25.9,16.1,2.81
45.4,4,33.1,10.5,18.1,12.9,23.4,14.5,6.4
53.6,2.9,40,9.3,17.3,12.7,22,14.2,7.35
47.6,2.1,44.4,9.3,15.8,11.2,20.5,13.2,9.16
149.2,1.6,49.9,7.9,13.5,9.6,17.5,11.9,14.01
137.3,1.6,47.5,8.4,12.5,8.3,16.7,11.3,13.14
169.1,2,52.1,7.5,13.5,9.8,17.3,12.1,15
50.8,2.9,46.2,9.8,14.8,9.9,19.7,12.4,10.99
25.5,3.9,41.4,10.1,16,11,21.1,12.8,5.6
38.3,4.7,36.5,10,17.5,12.5,22.5,13.8,5.74
13.7,5.4,33.1,10.1,19.8,14.8,24.9,15.8,2.57
54.2,5.2,29.5,9.7,19.2,14.4,24.1,15.5,6.49
14.7,4.9,29.2,10.1,19.5,14.5,24.6,15.9,3.98
23.4,4.1,31.3,10,19.3,14.3,24.3,15.9,3.53
52.2,2.9,40.3,10.5,16.8,11.6,22.1,13.6,8.08
145.5,2.2,44.2,9.1,16.7,12.2,21.3,13.9,14.16
108.7,1.6,46,9,13.5,9,18,11.7,12.9
173.4,1.7,47.3,9.1,12.7,8.2,17.3,11.3,14.31
150.4,2.2,45.4,9.4,13.2,8.5,17.9,11.2,14.48
96.9,2.6,51.9,8.6,14,9.7,18.3,12.2,12.81
14.4,3.9,41.5,10.1,16,11,21.1,12.9,5.54
18,4.6,36.6,9.8,16.9,12,21.8,13.4,3.54
45.2,4.9,36,9.4,18.6,13.9,23.3,15.2,8.52
1.9,5.4,30.1,10.5,19.7,14.5,25,15.8,1.8
0.3,5.3,28.3,11.1,21.5,16,27.1,17.7,0.92
20.7,3.9,36.6,10.2,19.5,14.4,24.6,16.4,4.85
78.6,2.5,44.3,9.7,16.2,11.4,21.1,14.4,11.16
76,2.1,48.4,9.3,16,11.4,20.7,13.4,9.25
82.8,1.6,50.6,9.3,12.7,8.1,17.4,11,11.56
118.3,1.5,49.2,7.7,12.3,8.5,16.2,11.4,11.32
118.6,2.4,46.3,8.9,13.9,9.5,18.4,11.3,13.35
57.9,2.8,44.9,10,13.6,8.6,18.6,11.5,11.86
27.5,3.6,41.4,10,14.9,9.9,19.9,12.4,6.14
11.7,5,33.3,10.7,18.2,12.9,23.6,14.3,4.18
18.1,5.3,34.1,10.4,19.6,14.4,24.8,15.9,5.52
7,5.5,33.1,10.7,20.9,15.6,26.3,17,2.67
22.9,4.8,33.5,10.1,20.7,15.7,25.8,17.7,5.64
90.2,3.9,34,9.7,19,14.2,23.9,16,8.49
80.5,2.9,41.4,10.3,17.6,12.5,22.8,14.5,9.43
119.8,1.9,46.9,9.2,14.5,9.9,19.1,12.6,11.03
97.1,1.5,50.8,8.3,13,8.9,17.2,11.7,10.82
153.4,1.5,48.5,9,11.8,7.3,16.3,10.9,13.91
142.8,2,50.9,8.7,12.8,8.5,17.2,11.5,14.91
115.1,2.6,48.8,9.2,13.7,9.1,18.3,12,14.32
53.5,3.6,40.5,10,14.5,9.5,19.5,12,9.63
44.8,4.6,41.7,9.7,17.8,13,22.7,14.3,7.42
4.6,5.2,34.5,10.2,19.2,14.1,24.3,15.4,3.38
24,5.5,29.1,10.7,20.3,15,25.7,16.5,5.28
39.3,4.9,33.4,10,21,16,26,17.7,5.4
1.5,4.1,32.6,11,19.3,13.8,24.8,16,1.22
164.9,2.5,46.8,8.5,16.7,12.5,21,14.7,13.93
99.6,2,46.2,9.7,14.8,10,19.7,12.6,13.18
122.1,1.4,51.1,8.1,11.9,7.9,16,11.1,13.49
161.6,1.3,53.2,7.8,11.6,7.7,15.5,11.2,14.76
65.9,2,46.5,9,12.4,7.9,16.9,11,10.09
29.1,3,41.3,10.7,14.3,9,19.7,11.8,6.48
7.5,3.8,39.6,10.4,15.3,10.1,20.5,12.5,2.43
22.1,4.6,34.7,10.2,16.8,11.7,21.9,13.3,5.54
26.7,5.2,35.8,10.5,19.2,14,24.5,15.5,7.39
8.2,5.4,30.5,10.4,19.7,14.5,24.9,15.7,2.9
13.4,4.8,31.4,10.1,19.4,14.4,24.5,15.8,3.68
13.6,4.4,28.9,11.1,19.8,14.3,25.4,15.7,3.94
26.9,3.3,36.4,11.3,18.2,12.6,23.9,14,6.6
84,2.2,45.1,9.9,15.9,11,20.9,13,10.83
137.2,1.6,53.7,8.8,12.9,8.5,17.3,11.3,13.84
213.2,1.5,55.7,8,12.6,8.6,16.6,11.6,17.51
45.3,1.9,48.5,8.9,11.5,7.1,16,10.6,8.39
96.5,2.5,54.4,8.6,13.6,9.3,17.9,12,14.67
69.8,3.3,57.1,8.1,15.7,11.7,19.8,13.5,10.46
17.1,4.6,40.9,9.6,17.3,12.5,22.1,13.7,4.79
15.6,5.3,33.7,10.6,19,13.7,24.3,14.8,3.37
2.6,5.5,30.2,9.9,20.4,15.5,25.4,16.3,0.79
35.3,4.9,31.5,9.7,20.3,15.5,25.2,16.8,6.41
33,4.3,33.1,10.3,19.9,14.8,25.1,16,5.24
71.6,2.9,42.2,9.5,16.8,12.1,21.6,13.6,8.24
81.4,1.8,48,8.4,14.2,10,18.4,12.4,10.99
169,1.6,53.4,8.5,12.7,8.5,17,11.2,14.25
105.4,1.6,54.3,8,12.5,8.5,16.5,11,13.14
60.1,2,52.6,9.2,12.4,7.8,17,10.9,10.92
65.6,2.6,49.6,8.7,13.5,9.2,17.9,11.7,11.76
80.5,3.4,47,8.8,15.2,10.8,19.6,13,13.08
16.3,4.7,39.7,10.3,17.5,12.4,22.7,13.7,4.69
14.2,5,35.7,9.4,18.7,14,23.4,15,2.74
7.9,5.7,30.2,10.5,20.8,15.6,26.1,16.5,2.86
40.5,5.1,26.5,11.1,19.7,14.2,25.3,15.9,6.8
6.6,4.5,32.6,10.6,20.5,15.2,25.8,16.1,3.28
153,2.5,47.4,8.3,16.5,12.4,20.7,14.3,13.52
201.2,1.7,56.6,7.1,14.4,10.9,18,13,15.08
105.3,1.5,52.3,8.2,13.1,9,17.2,11.8,12.55
189.2,1.8,54,8,14.2,10.2,18.2,12.2,13.83
93.7,2.2,49.3,9.5,13.3,8.6,18.1,11.3,12.27
24.6,3.1,44.7,9.9,14.7,9.8,19.7,11.9,6.74
